OMNIKNIGHT, PUDGE, SPECTRE, LEGION COMMANDER, DISRUPTOR, MEDUSA, ABADDON, WRAITH KING, PUGNA, NECROPHOS
BANE, ABADDON, NYX ASSASSIN, SHADOW FIEND, NATURES PROPHET, WINTER WYVERN, INVOKER, PUDGE, SLARK, SPIRIT BREAKER
DEATH PROPHET, JUGGERNAUT, ABADDON, LION, FACELESS VOID, VIPER, NECROPHOS, BRISTLEBACK, MIRANA, WRAITH KING
ABADDON, SNIPER, BANE, QUEEN OF PAIN, LEGION COMMANDER, PHANTOM ASSASSIN, JAKIRO, TIDEHUNTER, SHADOW FIEND, CLOCKWERK
AXE, EARTHSHAKER, LEGION COMMANDER, KUNKKA, WINDRANGER, ABADDON, NAGA SIREN, DAZZLE, STORM SPIRIT, PHOENIX
WRAITH KING, TIDEHUNTER, ANCIENT APPARITION, IO, SNIPER, DOOM, SPIRIT BREAKER, ABADDON, ELDER TITAN, WEAVER
EMBER SPIRIT, RIKI, BOUNTY HUNTER, VENGEFUL SPIRIT, WINDRANGER, LION, SPECTRE, ABADDON, SKYWRATH MAGE, STORM SPIRIT
LION, SLARK, DEATH PROPHET, MIRANA, ABADDON, INVOKER, LINA, WRAITH KING, SVEN, PHANTOM ASSASSIN
ABADDON, GYROCOPTER, LINA, WITCH DOCTOR, BANE, FACELESS VOID, OUTWORLD DEVOURER, BLOODSEEKER, KEEPER OF THE LIGHT, PUGNA
QUEEN OF PAIN, UNDYING, ANTI-MAGE, ABADDON, CRYSTAL MAIDEN, STORM SPIRIT, MIRANA, WINDRANGER, LINA, SLARDAR
WITCH DOCTOR, ALCHEMIST, OMNIKNIGHT, PHANTOM ASSASSIN, PUDGE, MIRANA, TIMBERSAW, SHADOW DEMON, CLINKZ, LIFESTEALER
WRAITH KING, OGRE MAGI, ALCHEMIST, MIRANA, PHANTOM ASSASSIN, JUGGERNAUT, TINKER, LEGION COMMANDER, SHADOW FIEND, DISRUPTOR
BRISTLEBACK, WINDRANGER, VISAGE, ELDER TITAN, RIKI, LEGION COMMANDER, PUDGE, SLARK, NECROPHOS, ALCHEMIST
ALCHEMIST, LIFESTEALER, PUGNA, NATURES PROPHET, ELDER TITAN, PUCK, SHADOW SHAMAN, AXE, JUGGERNAUT, KUNKKA
PHANTOM ASSASSIN, MIRANA, ALCHEMIST, RUBICK, MORPHLING, LIFESTEALER, AXE, ANTI-MAGE, SNIPER, ELDER TITAN
LINA, CRYSTAL MAIDEN, JUGGERNAUT, ALCHEMIST, PHOENIX, SKYWRATH MAGE, LIFESTEALER, WINDRANGER, LONE DRUID, MIRANA
NYX ASSASSIN, DEATH PROPHET, WINTER WYVERN, ENIGMA, SLARK, ABADDON, JUGGERNAUT, MIRANA, ALCHEMIST, NECROPHOS
ENIGMA, TIMBERSAW, NATURES PROPHET, PUDGE, SLARDAR, SVEN, WINDRANGER, EMBER SPIRIT, TINY, ALCHEMIST
URSA, TINY, CLINKZ, WINDRANGER, ALCHEMIST, PHANTOM ASSASSIN, TIDEHUNTER, MAGNUS, WITCH DOCTOR, TREANT PROTECTOR
DISRUPTOR, LION, ALCHEMIST, SNIPER, SPECTRE, SLARK, FACELESS VOID, INVOKER, ANCIENT APPARITION, WRAITH KING
EARTHSHAKER, ALCHEMIST, HUSKAR, WRAITH KING, BOUNTY HUNTER, PHANTOM ASSASSIN, ANCIENT APPARITION, SVEN, INVOKER, FACELESS VOID
NECROPHOS, INVOKER, RAZOR, RUBICK, MIRANA, UNDYING, TINKER, DOOM, ANCIENT APPARITION, ANTI-MAGE
WINTER WYVERN, SHADOW FIEND, TIMBERSAW, SLARK, DAZZLE, MIRANA, ANCIENT APPARITION, TINY, LION, LEGION COMMANDER
CRYSTAL MAIDEN, INVOKER, UNDYING, AXE, PUDGE, ANCIENT APPARITION, URSA, BRISTLEBACK, WINDRANGER, LEGION COMMANDER
